,game,developers,publishers,franchises,features,released_date,platform,genres,score,score_text,esrb,esrb_info
7408,Star Ocean: First Departure,['Square Enix'],['Square Enix'],['Star Ocean'],['Number Of Players'],2008-04-02 00:00:00,['PlayStation Portable'],['RPG'],7.4,good,Teen,"['Use of Alcohol', 'Suggestive Themes', 'Mild Language', 'Mild Fantasy Violence', 'Animated Blood']"
7409,Blackbeard's Assault,['Warhorse Studios'],['Warhorse Studios'],,['Number Of Players'],2008-11-12 00:00:00,['iPhone'],['Puzzle'],7.5,good,,
7410,Strafe,['Pixel Titans'],['Pixel Titans'],,['Oculus Rift VR'],2017-05-09 00:00:00,"['PlayStation 4', 'PC', 'Macintosh']",['Shooter'],6.3,okay,Mature,"['Violence', 'Blood and Gore']"
7411,American McGee's Grimm: Beauty and the Beast,['Spicy Horse'],['GameTap'],"[""American McGee's Grimm""]",,2008-09-18 00:00:00,['PC'],['Adventure'],6.3,okay,Teen,"['Animated Blood', 'Crude Humor', 'Violence']"
7412,Slotz Racer,['Strange Flavour'],['Freeverse'],,,2009-01-16 00:00:00,['iPhone'],['Racing'],8.0,great,,
7413,Star Wars: Trench Run,['InfraRed5'],['THQ Wireless'],['Star Wars'],,2009-11-17 00:00:00,['iPhone'],['Action'],6.7,okay,,
7414,Zeno Clash,['ACE Team'],"['Atlus', 'Tripwire Interactive', 'ACE Team']",['Zeno Clash'],['Number Of Players'],2009-04-21 00:00:00,"['Xbox 360', 'PC']",['Action'],8.4,great,Teen,"['Violence', 'Mild Suggestive Themes', 'Blood and Gore']"
7415,Go Vacation [2011],,['Bandai Namco Games'],,,2011-10-11 00:00:00,['Wii'],['Adventure'],7.0,good,Everyone 10+,['Cartoon Violence']
7416,Beat It!,['Glu Mobile'],['Glu Mobile'],,,2009-11-17 00:00:00,['iPhone'],['Music'],9.0,amazing,,
7417,F1 Championship Season 2000,"['Electronic Arts', 'Visual Sciences']","['Electronic Arts', 'MacPlay']",['F1 Championship'],"['Memory Card', 'Vibration', 'DualShock', 'Online', 'Online Versus Multiplayer']",2000-11-30 00:00:00,"['Macintosh', 'PlayStation 2', 'PC', 'PlayStation']","['Racing', 'Formula One']",7.9,good,Everyone,
7418,Lara Croft Go,['Square Enix Montreal'],['Square Enix'],['Tomb Raider'],,2015-08-27 00:00:00,"['PlayStation 4', 'PlayStation Vita', 'iPhone', 'Android']",['Adventure'],8.5,great,Everyone 10+,['Fantasy Violence']
7419,Plague Inc.,,['Ndemic Creations'],,,2012-05-26 00:00:00,['iPhone'],['Strategy'],7.0,good,,
7420,Battlefield Heroes,['DICE  (Digital Illusions CE)'],['Electronic Arts'],['Battlefield'],['Online'],2009-06-25 00:00:00,['PC'],['Shooter'],8.0,great,Teen,"['Violence', 'Tobacco Reference {DUPE}']"
7421,Sam & Max: Season One -- Episode #6: Bright Side of The Moon,['Telltale Games'],"['GameTap', 'Telltale Games']",['Sam and Max'],['Number Of Players'],2007-04-26 00:00:00,['PC'],"['Adventure', 'Episodic']",8.1,great,Teen,"['Comic Mischief', 'Animated Violence']"
7422,Muppet Race Mania,"[""Traveller's Tales""]",['Midway  Games'],['Muppets'],,2000-10-05 00:00:00,['PlayStation'],['Racing'],8.3,great,Everyone,['Comic Mischief']
7423,Cocoto Fun Fair,['Neko Entertainment'],"['BigBen Interactive', 'Conspiracy Entertainment']",,"['Number Of Players', 'Local - VS # of Players']",2006-04-07 00:00:00,"['Wii', 'PlayStation 2', 'GameCube']",['Shooter'],5.8,mediocre,,
7424,MX vs. ATV Reflex,"['Rainbow Studios', 'Tantalus']",['THQ'],['MX vs ATV'],"['Memory Card', 'Memory Blocks', 'Online', 'Multi-cartridge Multiplayer', 'Single-Cartridge Downloadable Multiplayer', 'Offline Versus Multiplayer']",2009-12-01 00:00:00,"['PlayStation Portable', 'Nintendo DS', 'Xbox 360', 'PlayStation 3']",['Racing'],5.7,mediocre,Everyone,"['No Descriptors', 'Mild Violence', 'Mild Suggestive Themes']"
7425,Halo: Spartan Assault,"['Vanguard Games', '343 Industries']",['Microsoft Game Studios'],['Halo'],['Online Co-Op Multiplayer'],2013-07-18 00:00:00,"['Xbox 360', 'Xbox One', 'Windows Surface', 'PC', 'Windows Phone']",['Shooter'],6.7,okay,Teen,"['Blood', 'Violence']"
7426,J.J. & Jeff,['Hudson Soft'],"['NEC', 'Hudson Soft']",,['Number Of Players'],1987-11-30 00:00:00,['Wii'],['Platformer'],4.0,bad,,
7427,Strong Bad's Cool Game for Attractive People -- Episode 2: Strongbadia the Free,"['Telltale Games', 'Videlectrix']",['Telltale Games'],,['Number Of Players'],2008-09-15 00:00:00,"['Macintosh', 'PlayStation 3', 'Wii', 'PC']","['Episodic', 'Adventure']",8.2,great,Teen,"['Use of Alcohol', 'Mild Cartoon Violence', 'Crude Humor', 'Mild Suggestive Themes']"
7428,Code of Honor 2: Conspiracy Island,['CI Games'],['CI Games'],,['Number Of Players'],2008-07-29 00:00:00,['PC'],['Shooter'],3.0,awful,Mature,"['Blood', 'Strong Language', 'Violence']"
7429,Disney's Extreme Skate Adventure,"['Toys for Bob', 'Vicarious Visions']",['Activision'],"['Disney', 'Toy Story', 'Tarzan', 'The Lion King']","['Memory Card', 'Vibration', 'DualShock', 'Dolby Digital', '480p', 'Cartridge Save']",2003-09-02 00:00:00,"['GameCube', 'Xbox', 'PlayStation 2', 'Game Boy Advance']",['Sports'],7.5,good,Everyone,"['No Descriptors', 'Suitable for Persons Ages Six and Older']"
7430,G.I. Joe: The Rise of Cobra -- The Game [PSP],['Double Helix'],['Electronic Arts'],['GI Joe'],['Number Of Players'],2009-08-04 00:00:00,['PlayStation Portable'],['Action'],5.0,mediocre,Teen,['Fantasy Violence']
7431,Pilot Academy,"['Beluga Software', 'Kuju  Entertainment', 'SystemSoft Alpha']","['Crave Entertainment', 'Marvelous Entertainment', 'SystemSoft Alpha', 'Rising Star Games']",,"['Number Of Players', 'Multi-cartridge Multiplayer']",2005-04-28 00:00:00,"['PlayStation Portable', 'PC', 'PlayStation 2']","['Flight', 'Simulation']",6.0,okay,,
7432,NBA Jam [2003],['Acclaim Studios Austin'],"['Acclaim Entertainment', 'Ingram Entertainment']",,"['480p', 'Number Of Players', 'Dolby Digital', 'Memory Card', '16:9', 'DualShock', 'Vibration']",2003-09-23 00:00:00,"['PlayStation 2', 'Xbox', 'GameCube']","['Action', 'Sports']",7.0,good,Everyone,['No Descriptors']
7433,Guild Wars: Eye of the North,['ArenaNet'],['NCSoft'],['Guild Wars'],"['Online', 'EAX']",2007-08-31 00:00:00,['PC'],"['RPG', 'DLC / Expansion']",7.9,good,Teen,"['Mild Suggestive Themes', 'Use of Alcohol', 'Violence']"
7434,Shadow of Rome,['Capcom Production Studio 2'],"['Ingram Entertainment', 'Capcom']",,"['Memory Card', 'Vibration', 'Number Of Players', 'Stereo Surround', 'DualShock']",2005-02-08 00:00:00,['PlayStation 2'],"['Adventure', 'Action']",7.6,good,Mature,"['Blood and Gore', 'Intense Violence']"
7435,Vessel,['Strange Loop Games'],"['IndiePub', 'Bandai Namco Games']",,,2012-03-01 00:00:00,"['PlayStation 3', 'Xbox 360', 'PC']","['Action', 'Puzzle']",8.0,great,Everyone,['No Descriptors']
7436,Jak and Daxter Collection,"['Mass Media', 'Naughty Dog Software']",['Sony Computer Entertainment'],['Jak and Daxter'],"['720p', '480p', '16:9']",2012-02-07 00:00:00,"['PlayStation Vita', 'PlayStation 3']","['Platformer', 'Compilation']",9.0,amazing,Teen,"['Mild Violence', 'Language', 'Comic Mischief', 'Suggestive Themes']"
7437,Super Turrican,"['Factor 5', 'Rainbow Arts']","['Imagineer', 'Anco', 'Factor 5', 'Seika']",['Turrican'],['Number Of Players'],1992-12-31 00:00:00,"['Wii', 'Super Nintendo Entertainment System', 'NES']",['Action'],8.5,great,,['Animated Violence']
7438,Sonic Riders: Zero Gravity,['Sonic Team'],['SEGA'],['Sonic the Hedgehog'],['Offline Versus Multiplayer'],2008-01-08 00:00:00,"['PlayStation 2', 'Wii']","['Action', 'Racing']",5.8,mediocre,Everyone,['Cartoon Violence']
